DATASET;PREPROCESS;CLASSIFIER_NAME;IDX_EXTERNAL;FEATURES_NUMBER;PARAMS;METRICS_DICT
CC;mRMR;Bagging;0;2;{'base_estimator__max_depth': 6, 'n_estimators': 10, 'max_samples': 0.5};{'BAL_ACC': 0.4442401960784314, 'AUC_SCORE': 0.38786764705882354}
CC;mRMR;Bagging;1;2;{'base_estimator__max_depth': 5, 'n_estimators': 10, 'max_samples': 0.5};{'BAL_ACC': 0.5, 'AUC_SCORE': 0.5367647058823529}
CC;mRMR;Bagging;2;4;{'base_estimator__max_depth': 4, 'n_estimators': 10, 'max_samples': 0.2};{'BAL_ACC': 0.508578431372549, 'AUC_SCORE': 0.4908088235294118}
CC;mRMR;Bagging;3;5;{'base_estimator__max_depth': 5, 'n_estimators': 10, 'max_samples': 0.5};{'BAL_ACC': 0.5741421568627451, 'AUC_SCORE': 0.6544117647058824}
CC;mRMR;Bagging;4;7;{'base_estimator__max_depth': 6, 'n_estimators': 100, 'max_samples': 0.5};{'BAL_ACC': 0.5379901960784313, 'AUC_SCORE': 0.6715686274509803}
CC;mRMR;Bagging;5;7;{'base_estimator__max_depth': 5, 'n_estimators': 10, 'max_samples': 0.5};{'BAL_ACC': 0.5533088235294118, 'AUC_SCORE': 0.5833333333333334}
CC;mRMR;Bagging;6;5;{'base_estimator__max_depth': 5, 'n_estimators': 100, 'max_samples': 0.5};{'BAL_ACC': 0.5153186274509803, 'AUC_SCORE': 0.6776960784313726}
CC;mRMR;Bagging;7;50;{'base_estimator__max_depth': 3, 'n_estimators': 10, 'max_samples': 0.1};{'BAL_ACC': 0.5569852941176471, 'AUC_SCORE': 0.6029411764705883}
CC;mRMR;Bagging;8;3;{'base_estimator__max_depth': 5, 'n_estimators': 10, 'max_samples': 0.2};{'BAL_ACC': 0.6470588235294118, 'AUC_SCORE': 0.5477941176470589}
CC;mRMR;Bagging;9;10;{'base_estimator__max_depth': 6, 'n_estimators': 10, 'max_samples': 0.5};{'BAL_ACC': 0.44607843137254904, 'AUC_SCORE': 0.5030637254901962}
CC;mRMR;Bagging;10;5;{'base_estimator__max_depth': 9, 'n_estimators': 10, 'max_samples': 0.5};{'BAL_ACC': 0.5759803921568627, 'AUC_SCORE': 0.6525735294117647}
CC;mRMR;Bagging;11;75;{'base_estimator__max_depth': 6, 'n_estimators': 10, 'max_samples': 0.5};{'BAL_ACC': 0.6035539215686274, 'AUC_SCORE': 0.7591911764705882}
CC;mRMR;Bagging;12;100;{'base_estimator__max_depth': 4, 'n_estimators': 10, 'max_samples': 0.2};{'BAL_ACC': 0.5674019607843137, 'AUC_SCORE': 0.6501225490196079}
CC;mRMR;Bagging;13;3;{'base_estimator__max_depth': 4, 'n_estimators': 10, 'max_samples': 0.2};{'BAL_ACC': 0.6072303921568627, 'AUC_SCORE': 0.7009803921568628}
CC;mRMR;Bagging;14;40;{'base_estimator__max_depth': 5, 'n_estimators': 100, 'max_samples': 0.2};{'BAL_ACC': 0.4944852941176471, 'AUC_SCORE': 0.548406862745098}
CC;mRMR;Bagging;15;6;{'base_estimator__max_depth': 6, 'n_estimators': 10, 'max_samples': 0.5};{'BAL_ACC': 0.47732843137254904, 'AUC_SCORE': 0.5514705882352942}
CC;mRMR;Bagging;16;75;{'base_estimator__max_depth': 7, 'n_estimators': 10, 'max_samples': 0.5};{'BAL_ACC': 0.5778186274509803, 'AUC_SCORE': 0.6280637254901961}
CC;mRMR;Bagging;17;3;{'base_estimator__max_depth': 6, 'n_estimators': 10, 'max_samples': 0.5};{'BAL_ACC': 0.5569852941176471, 'AUC_SCORE': 0.6899509803921569}
CC;mRMR;Bagging;18;2;{'base_estimator__max_depth': 7, 'n_estimators': 10, 'max_samples': 0.5};{'BAL_ACC': 0.48590686274509803, 'AUC_SCORE': 0.6090686274509804}
CC;mRMR;Bagging;19;30;{'base_estimator__max_depth': 8, 'n_estimators': 10, 'max_samples': 0.5};{'BAL_ACC': 0.4375, 'AUC_SCORE': 0.5992647058823529}
CC;mRMR;Bagging;20;20;{'base_estimator__max_depth': 4, 'n_estimators': 10, 'max_samples': 0.2};{'BAL_ACC': 0.548406862745098, 'AUC_SCORE': 0.5361519607843137}
