DATASET;PREPROCESS;CLASSIFIER_NAME;IDX_EXTERNAL;FEATURES_NUMBER;PARAMS;METRICS_DICT
FFT;mRMR;SVC;0;1;{'gamma': 0.1, 'C': 0.001};{'BAL_ACC': 0.5, 'AUC_SCORE': 0.5178308823529411}
FFT;mRMR;SVC;1;1;{'gamma': 0.001, 'C': 100.0};{'BAL_ACC': 0.48198529411764707, 'AUC_SCORE': 0.5334558823529412}
FFT;mRMR;SVC;2;1;{'gamma': 0.001, 'C': 1.0};{'BAL_ACC': 0.49007352941176474, 'AUC_SCORE': 0.5674632352941177}
FFT;mRMR;SVC;3;1;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.4838235294117647, 'AUC_SCORE': 0.5259191176470589}
FFT;mRMR;SVC;4;1;{'gamma': 0.001, 'C': 1.0};{'BAL_ACC': 0.5801470588235295, 'AUC_SCORE': 0.5869485294117647}
FFT;mRMR;SVC;5;1;{'gamma': 0.001, 'C': 10.0};{'BAL_ACC': 0.5716911764705882, 'AUC_SCORE': 0.6058823529411764}
FFT;mRMR;SVC;6;1;{'gamma': 0.001, 'C': 1.0};{'BAL_ACC': 0.5569852941176471, 'AUC_SCORE': 0.5474264705882353}
FFT;mRMR;SVC;7;1;{'gamma': 0.001, 'C': 1.0};{'BAL_ACC': 0.5319852941176471, 'AUC_SCORE': 0.631985294117647}
FFT;mRMR;SVC;8;1;{'gamma': 1.0, 'C': 1.0};{'BAL_ACC': 0.48970588235294116, 'AUC_SCORE': 0.49227941176470585}
FFT;mRMR;SVC;9;1;{'gamma': 0.001, 'C': 10.0};{'BAL_ACC': 0.46911764705882353, 'AUC_SCORE': 0.5716911764705882}
FFT;mRMR;SVC;10;1;{'gamma': 0.001, 'C': 1.0};{'BAL_ACC': 0.48566176470588235, 'AUC_SCORE': 0.528125}
FFT;mRMR;SVC;11;1;{'gamma': 0.001, 'C': 100.0};{'BAL_ACC': 0.5569852941176471, 'AUC_SCORE': 0.6101102941176471}
FFT;mRMR;SVC;12;1;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.5066176470588235, 'AUC_SCORE': 0.5494485294117647}
FFT;mRMR;SVC;13;1;{'gamma': 0.001, 'C': 0.001};{'BAL_ACC': 0.5, 'AUC_SCORE': 0.5470588235294118}
FFT;mRMR;SVC;14;1;{'gamma': 0.001, 'C': 1.0};{'BAL_ACC': 0.5169117647058823, 'AUC_SCORE': 0.6117647058823529}
FFT;mRMR;SVC;15;1;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.538235294117647, 'AUC_SCORE': 0.5856617647058823}
FFT;mRMR;SVC;16;1;{'gamma': 0.001, 'C': 1.0};{'BAL_ACC': 0.544485294117647, 'AUC_SCORE': 0.6330882352941176}
FFT;mRMR;SVC;17;1;{'gamma': 0.001, 'C': 10.0};{'BAL_ACC': 0.4919117647058824, 'AUC_SCORE': 0.5647058823529412}
FFT;mRMR;SVC;18;1;{'gamma': 0.001, 'C': 0.001};{'BAL_ACC': 0.5, 'AUC_SCORE': 0.5273897058823529}
FFT;mRMR;SVC;19;1;{'gamma': 0.01, 'C': 1.0};{'BAL_ACC': 0.5150735294117647, 'AUC_SCORE': 0.5323529411764705}
FFT;mRMR;SVC;20;1;{'gamma': 0.01, 'C': 1.0};{'BAL_ACC': 0.5213235294117647, 'AUC_SCORE': 0.5246323529411765}
FFT;mRMR;SVC;21;1;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.5213235294117647, 'AUC_SCORE': 0.5707720588235294}
FFT;mRMR;SVC;22;1;{'gamma': 0.001, 'C': 1.0};{'BAL_ACC': 0.49411764705882355, 'AUC_SCORE': 0.54375}
FFT;mRMR;SVC;23;1;{'gamma': 0.001, 'C': 10.0};{'BAL_ACC': 0.5738970588235294, 'AUC_SCORE': 0.6297794117647059}
FFT;mRMR;SVC;24;1;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.5463235294117647, 'AUC_SCORE': 0.5801470588235295}
FFT;mRMR;SVC;25;1;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.544485294117647, 'AUC_SCORE': 0.5277573529411765}
FFT;mRMR;SVC;26;1;{'gamma': 0.001, 'C': 1.0};{'BAL_ACC': 0.4566176470588235, 'AUC_SCORE': 0.5805147058823529}
FFT;mRMR;SVC;27;1;{'gamma': 0.001, 'C': 0.001};{'BAL_ACC': 0.5, 'AUC_SCORE': 0.5218750000000001}
FFT;mRMR;SVC;28;1;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.5235294117647059, 'AUC_SCORE': 0.5952205882352941}
FFT;mRMR;SVC;29;1;{'gamma': 0.001, 'C': 0.001};{'BAL_ACC': 0.5, 'AUC_SCORE': 0.4753676470588235}
FFT;mRMR;SVC;30;1;{'gamma': 0.001, 'C': 0.001};{'BAL_ACC': 0.5, 'AUC_SCORE': 0.6055147058823529}
FFT;mRMR;SVC;31;1;{'gamma': 0.01, 'C': 10.0};{'BAL_ACC': 0.48161764705882354, 'AUC_SCORE': 0.5882352941176471}
FFT;mRMR;SVC;32;1;{'gamma': 0.001, 'C': 1.0};{'BAL_ACC': 0.5257352941176471, 'AUC_SCORE': 0.5200367647058823}
FFT;mRMR;SVC;33;1;{'gamma': 0.001, 'C': 1.0};{'BAL_ACC': 0.5257352941176471, 'AUC_SCORE': 0.5930147058823529}
FFT;mRMR;SVC;34;1;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.5845588235294118, 'AUC_SCORE': 0.6099264705882352}
FFT;mRMR;SVC;35;1;{'gamma': 0.001, 'C': 10.0};{'BAL_ACC': 0.5716911764705882, 'AUC_SCORE': 0.6424632352941175}
FFT;mRMR;SVC;36;1;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.5279411764705882, 'AUC_SCORE': 0.6242647058823529}
FFT;mRMR;SVC;37;1;{'gamma': 0.001, 'C': 1.0};{'BAL_ACC': 0.5360294117647059, 'AUC_SCORE': 0.5935661764705883}
FFT;mRMR;SVC;38;1;{'gamma': 0.001, 'C': 1.0};{'BAL_ACC': 0.5194852941176471, 'AUC_SCORE': 0.5386029411764706}
FFT;mRMR;SVC;39;1;{'gamma': 0.001, 'C': 1.0};{'BAL_ACC': 0.44191176470588234, 'AUC_SCORE': 0.5591911764705882}
FFT;mRMR;SVC;40;1;{'gamma': 0.001, 'C': 1.0};{'BAL_ACC': 0.4606617647058824, 'AUC_SCORE': 0.5823529411764706}
FFT;mRMR;SVC;41;1;{'gamma': 0.001, 'C': 1.0};{'BAL_ACC': 0.4860294117647059, 'AUC_SCORE': 0.5261029411764706}
FFT;mRMR;SVC;42;1;{'gamma': 0.001, 'C': 1.0};{'BAL_ACC': 0.5025735294117647, 'AUC_SCORE': 0.6106617647058823}
FFT;mRMR;SVC;43;1;{'gamma': 0.001, 'C': 10.0};{'BAL_ACC': 0.5654411764705882, 'AUC_SCORE': 0.6022058823529411}
FFT;mRMR;SVC;44;1;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.5341911764705882, 'AUC_SCORE': 0.5301470588235294}
