DATASET;PREPROCESS;CLASSIFIER_NAME;IDX_EXTERNAL;FEATURES_NUMBER;PARAMS;METRICS_DICT
CC;mRMR;SVC;0;9;{'gamma': 10.0, 'C': 0.1};{'BAL_ACC': 0.5745341614906833, 'AUC_SCORE': 0.5903209109730848}
CC;mRMR;SVC;1;20;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.5401138716356109, 'AUC_SCORE': 0.527432712215321}
CC;mRMR;SVC;2;15;{'gamma': 0.1, 'C': 10.0};{'BAL_ACC': 0.5727225672877847, 'AUC_SCORE': 0.5838509316770186}
CC;mRMR;SVC;3;6;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.5377846790890269, 'AUC_SCORE': 0.5139751552795031}
CC;mRMR;SVC;4;9;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.5230331262939958, 'AUC_SCORE': 0.5214803312629399}
CC;mRMR;SVC;5;100;{'gamma': 1.0, 'C': 1.0};{'BAL_ACC': 0.6270703933747412, 'AUC_SCORE': 0.6477743271221532}
CC;mRMR;SVC;6;100;{'gamma': 0.001, 'C': 100.0};{'BAL_ACC': 0.5527950310559007, 'AUC_SCORE': 0.558488612836439}
CC;mRMR;SVC;7;8;{'gamma': 0.1, 'C': 100.0};{'BAL_ACC': 0.5346790890269151, 'AUC_SCORE': 0.5460662525879917}
CC;mRMR;SVC;8;15;{'gamma': 0.1, 'C': 10.0};{'BAL_ACC': 0.6009316770186335, 'AUC_SCORE': 0.6120600414078675}
CC;mRMR;SVC;9;50;{'gamma': 0.1, 'C': 100.0};{'BAL_ACC': 0.5274327122153208, 'AUC_SCORE': 0.545807453416149}
CC;mRMR;SVC;10;2;{'gamma': 100.0, 'C': 1.0};{'BAL_ACC': 0.45988612836438925, 'AUC_SCORE': 0.45729813664596275}
CC;mRMR;SVC;11;75;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.5442546583850931, 'AUC_SCORE': 0.5507246376811593}
CC;mRMR;SVC;12;9;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.6115424430641823, 'AUC_SCORE': 0.592391304347826}
CC;mRMR;SVC;13;9;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.504399585921325, 'AUC_SCORE': 0.5504658385093167}
CC;mRMR;SVC;14;1;{'gamma': 10.0, 'C': 1000.0};{'BAL_ACC': 0.5126811594202898, 'AUC_SCORE': 0.5289855072463768}
CC;mRMR;SVC;15;15;{'gamma': 0.1, 'C': 10.0};{'BAL_ACC': 0.5931677018633541, 'AUC_SCORE': 0.6045548654244307}
CC;mRMR;SVC;16;8;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.4862836438923395, 'AUC_SCORE': 0.4583333333333333}
