DATASET;PREPROCESS;CLASSIFIER_NAME;IDX_EXTERNAL;FEATURES_NUMBER;PARAMS;METRICS_DICT
CC;mRMR;SVC;0;10;{'gamma': 0.1, 'C': 100.0};{'BAL_ACC': 0.5545343137254902, 'AUC_SCORE': 0.5306372549019608}
CC;mRMR;SVC;1;4;{'gamma': 1.0, 'C': 1000.0};{'BAL_ACC': 0.5686274509803921, 'AUC_SCORE': 0.642156862745098}
CC;mRMR;SVC;2;4;{'gamma': 10.0, 'C': 10.0};{'BAL_ACC': 0.6311274509803921, 'AUC_SCORE': 0.713235294117647}
CC;mRMR;SVC;3;4;{'gamma': 1.0, 'C': 1000.0};{'BAL_ACC': 0.5790441176470589, 'AUC_SCORE': 0.6078431372549019}
CC;mRMR;SVC;4;6;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.47120098039215685, 'AUC_SCORE': 0.5477941176470589}
CC;mRMR;SVC;5;4;{'gamma': 1.0, 'C': 100.0};{'BAL_ACC': 0.6274509803921569, 'AUC_SCORE': 0.5968137254901961}
CC;mRMR;SVC;6;5;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.6256127450980392, 'AUC_SCORE': 0.6887254901960784}
CC;mRMR;SVC;7;4;{'gamma': 100.0, 'C': 1.0};{'BAL_ACC': 0.5655637254901961, 'AUC_SCORE': 0.6801470588235294}
CC;mRMR;SVC;8;7;{'gamma': 0.1, 'C': 1000.0};{'BAL_ACC': 0.5183823529411764, 'AUC_SCORE': 0.5257352941176471}
CC;mRMR;SVC;9;4;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.49754901960784315, 'AUC_SCORE': 0.5343137254901962}
CC;mRMR;SVC;10;50;{'gamma': 0.1, 'C': 10.0};{'BAL_ACC': 0.49387254901960786, 'AUC_SCORE': 0.5404411764705883}
CC;mRMR;SVC;11;100;{'gamma': 0.1, 'C': 10.0};{'BAL_ACC': 0.6011029411764706, 'AUC_SCORE': 0.6593137254901961}
CC;mRMR;SVC;12;4;{'gamma': 1.0, 'C': 10.0};{'BAL_ACC': 0.6427696078431373, 'AUC_SCORE': 0.7132352941176471}
CC;mRMR;SVC;13;100;{'gamma': 0.001, 'C': 1000.0};{'BAL_ACC': 0.5079656862745098, 'AUC_SCORE': 0.5428921568627452}
CC;mRMR;SVC;14;20;{'gamma': 0.1, 'C': 1000.0};{'BAL_ACC': 0.5202205882352942, 'AUC_SCORE': 0.4803921568627451}
CC;mRMR;SVC;15;4;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.6341911764705883, 'AUC_SCORE': 0.6813725490196079}
CC;mRMR;SVC;16;4;{'gamma': 0.1, 'C': 100.0};{'BAL_ACC': 0.6568627450980392, 'AUC_SCORE': 0.7095588235294118}
CC;mRMR;SVC;17;5;{'gamma': 10.0, 'C': 0.1};{'BAL_ACC': 0.6427696078431373, 'AUC_SCORE': 0.6825980392156863}
CC;mRMR;SVC;18;2;{'gamma': 100.0, 'C': 0.1};{'BAL_ACC': 0.45772058823529416, 'AUC_SCORE': 0.4595588235294118}
CC;mRMR;SVC;19;4;{'gamma': 10.0, 'C': 1.0};{'BAL_ACC': 0.7071078431372549, 'AUC_SCORE': 0.7401960784313726}
CC;mRMR;SVC;20;15;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.6568627450980392, 'AUC_SCORE': 0.6875}
