DATASET;PREPROCESS;CLASSIFIER_NAME;IDX_EXTERNAL;FEATURES_NUMBER;PARAMS;METRICS_DICT
DCOR;mRMR;SVC;0;8;{'gamma': 0.01, 'C': 1000.0};{'BAL_ACC': 0.5673758865248226, 'AUC_SCORE': 0.46099290780141844}
DCOR;mRMR;SVC;1;7;{'gamma': 1.0, 'C': 100.0};{'BAL_ACC': 0.5691489361702128, 'AUC_SCORE': 0.5638297872340425}
DCOR;mRMR;SVC;2;2;{'gamma': 1.0, 'C': 1000.0};{'BAL_ACC': 0.46808510638297873, 'AUC_SCORE': 0.7056737588652482}
DCOR;mRMR;SVC;3;20;{'gamma': 1.0, 'C': 10.0};{'BAL_ACC': 0.6099290780141844, 'AUC_SCORE': 0.5638297872340425}
DCOR;mRMR;SVC;4;75;{'gamma': 0.1, 'C': 10.0};{'BAL_ACC': 0.5159574468085106, 'AUC_SCORE': 0.5354609929078014}
DCOR;mRMR;SVC;5;3;{'gamma': 100.0, 'C': 1000.0};{'BAL_ACC': 0.4769503546099291, 'AUC_SCORE': 0.5709219858156028}
DCOR;mRMR;SVC;6;1;{'gamma': 1000.0, 'C': 1000.0};{'BAL_ACC': 0.475177304964539, 'AUC_SCORE': 0.5319148936170213}
DCOR;mRMR;SVC;7;1;{'gamma': 1000.0, 'C': 0.1};{'BAL_ACC': 0.5159574468085106, 'AUC_SCORE': 0.5354609929078015}
DCOR;mRMR;SVC;8;50;{'gamma': 1.0, 'C': 1.0};{'BAL_ACC': 0.4237588652482269, 'AUC_SCORE': 0.29432624113475175}
DCOR;mRMR;SVC;9;40;{'gamma': 1.0, 'C': 1.0};{'BAL_ACC': 0.5904255319148937, 'AUC_SCORE': 0.5035460992907801}
DCOR;mRMR;SVC;10;1;{'gamma': 1000.0, 'C': 100.0};{'BAL_ACC': 0.4131205673758865, 'AUC_SCORE': 0.2943262411347518}
DCOR;mRMR;SVC;11;6;{'gamma': 1.0, 'C': 100.0};{'BAL_ACC': 0.6329787234042553, 'AUC_SCORE': 0.6879432624113475}
DCOR;mRMR;SVC;12;10;{'gamma': 10.0, 'C': 10.0};{'BAL_ACC': 0.5815602836879432, 'AUC_SCORE': 0.5851063829787234}
DCOR;mRMR;SVC;13;6;{'gamma': 1.0, 'C': 1000.0};{'BAL_ACC': 0.4219858156028369, 'AUC_SCORE': 0.4858156028368794}
DCOR;mRMR;SVC;14;10;{'gamma': 1.0, 'C': 1000.0};{'BAL_ACC': 0.4148936170212766, 'AUC_SCORE': 0.6418439716312057}
DCOR;mRMR;SVC;15;3;{'gamma': 100.0, 'C': 1000.0};{'BAL_ACC': 0.5602836879432624, 'AUC_SCORE': 0.5212765957446809}
DCOR;mRMR;SVC;16;7;{'gamma': 0.1, 'C': 1000.0};{'BAL_ACC': 0.43439716312056736, 'AUC_SCORE': 0.42907801418439717}
